make,model,year,complaintCount,riskFactor
Chevrolet,Trax,2021,16,0.9
Chevrolet,Trax,2022,8,0.9
Chevrolet,Trax,2024,91,0.95
Dodge,Challenger,2010,432,1.05
Dodge,Challenger,2011,252,1.0
Dodge,Challenger,2012,332,1.05
Dodge,Challenger,2013,237,1.0
Dodge,Challenger,2014,205,1.0
Dodge,Challenger,2015,169,1.0
Dodge,Challenger,2016,102,0.95
Dodge,Challenger,2017,59,0.95
Dodge,Challenger,2018,106,0.95
Dodge,Challenger,2019,76,0.95
Dodge,Challenger,2020,23,0.9
Dodge,Challenger,2021,20,0.9
Dodge,Challenger,2022,5,0.9
Dodge,Challenger,2023,27,0.9
Dodge,Charger,2010,295,1.0
Dodge,Charger,2011,1030,1.15
Dodge,Charger,2012,941,1.1
Dodge,Charger,2013,481,1.05
Dodge,Charger,2014,511,1.05
Dodge,Charger,2015,185,1.0
Dodge,Charger,2016,238,1.0
Dodge,Charger,2017,178,1.0
Dodge,Charger,2018,155,1.0
Dodge,Charger,2019,119,0.95
Dodge,Charger,2020,51,0.95
Dodge,Charger,2021,27,0.9
Dodge,Charger,2022,10,0.9
Dodge,Charger,2023,8,0.9
Dodge,Durango,2011,1170,1.15
Dodge,Durango,2012,907,1.1
Dodge,Durango,2013,874,1.1
Dodge,Durango,2014,979,1.1
Dodge,Durango,2015,603,1.1
Dodge,Durango,2016,214,1.0
Dodge,Durango,2017,263,1.0
Dodge,Durango,2018,269,1.0
Dodge,Durango,2019,145,0.95
Dodge,Durango,2020,41,0.9
Dodge,Durango,2021,140,0.95
Dodge,Durango,2022,27,0.9
Dodge,Durango,2023,6,0.9
Dodge,Journey,2010,1462,1.15
Dodge,Journey,2011,250,1.0
Dodge,Journey,2012,601,1.1
Dodge,Journey,2013,485,1.05
Dodge,Journey,2014,615,1.1
Dodge,Journey,2015,817,1.1
Dodge,Journey,2016,553,1.05
Dodge,Journey,2017,273,1.0
Dodge,Journey,2018,241,1.0
Dodge,Journey,2019,69,0.95
Dodge,Journey,2020,35,0.9
Ford,Bronco,2021,161,1.0
Ford,Bronco,2022,260,1.0
Ford,Bronco,2023,175,1.0
Ford,Bronco,2024,13,0.9
Ford,Edge,2010,764,1.1
Ford,Edge,2011,2470,1.2
Ford,Edge,2012,1443,1.15
Ford,Edge,2013,3050,1.2
Ford,Edge,2014,435,1.05
Ford,Edge,2015,794,1.1
Ford,Edge,2016,852,1.1
Ford,Edge,2017,1163,1.15
Ford,Edge,2018,666,1.1
Ford,Edge,2019,475,1.05
Ford,Edge,2020,186,1.0
Ford,Edge,2021,66,0.95
Ford,Edge,2022,49,0.9
Ford,Edge,2023,14,0.9
Ford,Edge,2024,20,0.9
Ford,Escape,2010,3119,1.2
Ford,Escape,2011,1814,1.15
Ford,Escape,2012,763,1.1
Ford,Escape,2013,3511,1.2
Ford,Escape,2014,2371,1.2
Ford,Escape,2015,976,1.1
Ford,Escape,2016,911,1.1
Ford,Escape,2017,2246,1.2
Ford,Escape,2018,1283,1.15
Ford,Escape,2019,385,1.05
Ford,Escape,2020,1389,1.15
Ford,Escape,2021,215,1.0
Ford,Escape,2022,133,0.95
Ford,Escape,2023,57,0.95
Ford,Escape,2024,6,0.9
Ford,Explorer,2010,146,0.95
Ford,Explorer,2011,1381,1.15
Ford,Explorer,2012,909,1.1
Ford,Explorer,2013,2466,1.2
Ford,Explorer,2014,1747,1.15
Ford,Explorer,2015,1746,1.15
Ford,Explorer,2016,2514,1.2
Ford,Explorer,2017,1426,1.15
Ford,Explorer,2018,567,1.05
Ford,Explorer,2019,192,1.0
Ford,Explorer,2020,1052,1.15
Ford,Explorer,2021,324,1.05
Ford,Explorer,2022,181,1.0
Ford,Explorer,2023,73,0.95
Ford,Explorer,2024,11,0.9
Ford,F-150,2010,1105,1.15
Ford,F-150,2011,2838,1.2
Ford,F-150,2012,2300,1.2
Ford,F-150,2013,3480,1.2
Ford,F-150,2014,1648,1.15
Ford,F-150,2015,1741,1.15
Ford,F-150,2016,1941,1.15
Ford,F-150,2017,1115,1.15
Ford,F-150,2018,1870,1.15
Ford,F-150,2019,916,1.1
Ford,F-150,2020,516,1.05
Ford,F-150,2021,626,1.1
Ford,F-150,2022,395,1.05
Ford,F-150,2023,207,1.0
Ford,F-150,2024,27,0.9
Ford,Fusion,2010,6933,1.2
Ford,Fusion,2011,3539,1.2
Ford,Fusion,2012,2919,1.2
Ford,Fusion,2013,2262,1.2
Ford,Fusion,2014,1608,1.15
Ford,Fusion,2015,1133,1.15
Ford,Fusion,2016,1701,1.15
Ford,Fusion,2017,1129,1.15
Ford,Fusion,2018,402,1.05
Ford,Fusion,2019,266,1.0
Ford,Fusion,2020,123,0.95
Ford,Maverick,2022,92,0.95
Ford,Maverick,2023,39,0.9
Ford,Maverick,2024,20,0.9
Ford,Mustang,2010,293,1.0
Ford,Mustang,2011,579,1.05
Ford,Mustang,2012,566,1.05
Ford,Mustang,2013,317,1.05
Ford,Mustang,2014,415,1.05
